Title,Location,Time,Start
Basketball Summer Hoops Camp (6-14 yrs) ,Navy Elementary School                  ,9am Mon/Tue/Thu/Fri                                                                                  ,7/2/2018
Basketball & Sports Camp (6-14 yrs.)    ,Audrey Moore RECenter                   ,9am Mon/Tue/Thu/Fri                                                                                  ,7/2/2018
British Soccer Players Camp (6-14 yrs)  ,Providence RECenter                     ,9am Mon/Tue/Thu/Fri                                                                                  ,7/2/2018
British Soccer Players Camp (6-14 yrs)  ,Spring Hill RECenter                    ,9am Mon/Tue/Thu/Fri                                                                                  ,7/2/2018
British Soccer Players Camp (6-14 yrs)  ,Spring Hill RECenter                    ,9am Mon/Tue/Thu/Fri                                                                                  ,7/2/2018
British Soccer Players Camp (6-14 yrs)  ,Audrey Moore RECenter                   ,9am Mon/Tue/Thu/Fri                                                                                  ,7/2/2018
British Soccer Players Camp (6-14 yrs)  ,Audrey Moore RECenter                   ,9am Mon/Tue/Thu/Fri                                                                                  ,7/2/2018
Stroke Mechanics II (6-14 yrs.)         ,Oak Marr RECenter                       ,9:35am Mon/Tue/Wed/Thu                                                                               ,7/2/2018
Let's Make Music (1-5 yrs)              ,Fairhill Elementary School              ,10am Tue                                                                                             ,7/3/2018
Nature Detectives (3-5 yrs)             ,Hidden Oaks Nature Center               ,10am Tue                                                                                             ,7/3/2018
Let's Make Music (1-5 yrs)              ,Providence RECenter                     ,9:45am Tue                                                                                           ,7/3/2018
Preschool Picassos (2-5 yrs)            ,Providence RECenter                     ,9:45am Tue                                                                                           ,7/3/2018
Preschool Picassos (2-5 yrs)            ,Fairhill Elementary School              ,11am Tue                                                                                             ,7/3/2018
"All Aboard, Trains Galore! (3-5 yrs)    ",Providence RECenter                     ,10:45am Tue                                                                                          ,7/3/2018
Sustainability Merit Badge              ,Hidden Oaks Nature Center               ,1pm Tue                                                                                              ,7/3/2018
Citizenship in the World Merit Badge    ,Clark House                             ,12pm Tue                                                                                             ,7/3/2018
Oceanography Merit Badge                ,Cub Run RECenter                        ,10am Tue                                                                                             ,7/3/2018
JGS-Gardener                            ,Frying Pan Park                         ,4pm Tue                                                                                              ,7/3/2018
Wagon Ride-Journey to the Potomac River ,Riverbend Park                          ,10:30am Wed                                                                                          ,7/4/2018
Kindness Rocks                          ,Hidden Oaks Nature Center               ,10am Thu                                                                                             ,7/5/2018
Flora Fauna-Summer Series               ,Hidden Pond Nature Center               ,11am Thu                                                                                             ,7/5/2018
Communication Merit Badge               ,Clark House                             ,12pm Thu                                                                                             ,7/5/2018
Ballet & Tap (6-8 yrs)                  ,The Dance Company                       ,5:30pm Thu                                                                                           ,7/5/2018
Mammal Study Merit Badge                ,Hidden Oaks Nature Center               ,9am Thu                                                                                              ,7/5/2018
Reptile & Amphibian Merit Badge         ,Ellanor C. Lawrence Park                ,9am Thu                                                                                              ,7/5/2018
Astronomy Merit Badge                   ,Cub Run RECenter                        ,5pm Thu                                                                                              ,7/5/2018
Citizenship in the Nation Merit Badge   ,Ellanor C. Lawrence Park                ,12:30pm Thu                                                                                          ,7/5/2018
Soil & Water Conservation Merit Badge   ,Hidden Oaks Nature Center               ,1pm Thu                                                                                              ,7/5/2018
Junior ROCS Camp (5yr3mos-7yr11mos)     ,Cub Run RECenter                        ,9am Thu/Fri                                                                                          ,7/5/2018
Ballet & Tap (4-6 yrs)                  ,The Dance Company                       ,4:45pm Thu                                                                                           ,7/5/2018
TotZone (2-5 yrs)                       ,Providence RECenter                     ,10:45am Thu                                                                                          ,7/5/2018
Ballet & Tap (3-5 yrs)                  ,The Dance Company                       ,10:30am Thu                                                                                          ,7/5/2018
Ballet & Tap (2-3 yrs)                  ,The Dance Company                       ,9:30am Thu                                                                                           ,7/5/2018
Under the Sea (3-6 yrs)                 ,Providence RECenter                     ,10:45am Thu                                                                                          ,7/5/2018
Let's Make Music (1-5 yrs)              ,Providence RECenter                     ,9:45am Thu                                                                                           ,7/5/2018
Abrakadoodle Twoosy Doodlers (20-36 mos),Fairhill Elementary School              ,9:15am Thu                                                                                           ,7/5/2018
Abrakadoodle Mini Doodlers (3-6 yrs)    ,Fairhill Elementary School              ,11:15am Thu                                                                                          ,7/5/2018
Nature Detectives (3-5 yrs)             ,Hidden Oaks Nature Center               ,4pm Thu                                                                                              ,7/5/2018
Fishing for Parent and Child (6-17 yrs) ,Riverbend Park                          ,4:30pm Thu                                                                                           ,7/5/2018
Summer ROCS Camp (8-12 yrs)             ,Cub Run RECenter                        ,9am Thu/Fri                                                                                          ,7/5/2018
Kayak Tour-Sunset over Riverbend (14+)  ,Riverbend Park                          ,5:30pm Fri                                                                                           ,7/6/2018
Let's Make Music (1-5 yrs)              ,Providence RECenter                     ,10:45am Fri                                                                                          ,7/6/2018
Nature Study Merit Badge                ,Ellanor C. Lawrence Park                ,9am Fri                                                                                              ,7/6/2018
Environmental Science Merit Badge       ,Cub Run RECenter                        ,10am Fri                                                                                             ,7/6/2018
American Heritage Merit Badge           ,Sully                                   ,10am Fri                                                                                             ,7/6/2018
Art Merit Badge                         ,Hidden Oaks Nature Center               ,2pm Fri                                                                                              ,7/6/2018
Photography Merit Badge                 ,Ellanor C. Lawrence Park                ,1:30pm Fri                                                                                           ,7/6/2018
Space Exploration Merit Badge           ,Hidden Oaks Nature Center               ,9am Fri                                                                                              ,7/6/2018
Nocturnal Hunters                       ,Ellanor C. Lawrence Park                ,8pm Fri                                                                                              ,7/6/2018
Astronomy for Family Fun: Stars         ,Hidden Oaks Nature Center               ,8:30pm Sat                                                                                           ,7/7/2018
Firefly Walk                            ,Huntley Meadows Park                    ,8pm Sat                                                                                              ,7/7/2018
The People of the Forgotten Road        ,Sully                                   ,1pm Sat                                                                                              ,7/7/2018
Floral Design:Cutting Garden Arrangement,Green Spring Gardens Park               ,9:30am Sat                                                                                           ,7/7/2018
Family Fun: Meet a Horticulturalist     ,Green Spring Gardens Park               ,10am Sat                                                                                             ,7/7/2018
Beautiful Handmade Arts:Summer          ,Ellanor C. Lawrence Park                ,2pm Sat                                                                                              ,7/7/2018
Reptile & Amphibian Merit Badge         ,Hidden Oaks Nature Center               ,1:30pm Sat                                                                                           ,7/7/2018
Winterthur Follies: Architectural Whimsy,Tours                                   ,7am Sat                                                                                              ,7/7/2018
Sitter Sessions (9-14 yrs)              ,Audrey Moore RECenter                   ,12:30pm Sat                                                                                          ,7/7/2018
Stand-Up Paddlebording II (13-Adult)    ,Riverbend Park                          ,4pm Sat                                                                                              ,7/7/2018
Kayak Tour-Wildlife of the Potomac 14+  ,Riverbend Park                          ,5:30pm Sat                                                                                           ,7/7/2018
Stand Up Paddleboarding (14-Adult)      ,Riverbend Park                          ,12pm Sat                                                                                             ,7/7/2018
Exploring Nature Series-Summer 13-Adult ,Lake Fairfax Park                       ,3:30pm Sat                                                                                           ,7/7/2018
Exploring Nature Series-Summer 6-12 yrs ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,7/7/2018
Act Up Superhero Spotlight (7-14 yrs)   ,Oakton Elementary School                ,12pm Sat                                                                                             ,7/7/2018
All-Star Improv Party (7-14 yrs)        ,Oakton Elementary School                ,11am Sat                                                                                             ,7/7/2018
American Red Cross Lifeguard Trg 15+    ,South Run RECenter                      ,9am Sun/Sat                                                                                          ,7/7/2018
Boot Camp for Kids (6-12 yrs)           ,South Run RECenter                      ,3pm Sat                                                                                              ,7/7/2018
Weight Training (16-Adult)              ,Spring Hill RECenter                    ,9am Sat                                                                                              ,7/7/2018
Zumba (13-Adult)                        ,Oak Marr RECenter                       ,10am Sat                                                                                             ,7/7/2018
Weight Training for Teens (12-15 yrs)   ,Cub Run RECenter                        ,12pm Sat                                                                                             ,7/7/2018
TRX II (13-Adult)                       ,South Run RECenter                      ,10am Sat                                                                                             ,7/7/2018
BODYPUMP (13-Adult)                     ,Cub Run RECenter                        ,7am Sat                                                                                              ,7/7/2018
Golf Fit (13-Adult)                     ,South Run RECenter                      ,10am Sat                                                                                             ,7/7/2018
Teen Fit Zone (10-18 yrs)               ,South Run RECenter                      ,4pm Sat                                                                                              ,7/7/2018
Parkinson's Chair Exercise (Adults)     ,Oak Marr RECenter                       ,1:30pm Sat                                                                                           ,7/7/2018
5K Team-Beginner (13-Adult)             ,South Run RECenter                      ,7am Sat                                                                                              ,7/7/2018
5K Team-Beginner (13-Adult)             ,Cub Run RECenter                        ,8am Sat                                                                                              ,7/7/2018
Barre Workout (13-Adult)                ,Spring Hill RECenter                    ,10am Sat                                                                                             ,7/7/2018
Barre Workout (13-Adult)                ,Spring Hill RECenter                    ,11am Sat                                                                                             ,7/7/2018
Pilates Allegro Reformer & Tower 13+    ,Spring Hill RECenter                    ,11am Sat                                                                                             ,7/7/2018
Pilates Allegro Reformer Lessons 13+    ,Spring Hill RECenter                    ,9am Sat                                                                                              ,7/7/2018
Tai Chi II (13-Adult)                   ,Spring Hill RECenter                    ,10am Sat                                                                                             ,7/7/2018
Tai Chi I (13-Adult)                    ,Oak Marr RECenter                       ,12pm Sat                                                                                             ,7/7/2018
Tai Chi I (13-Adult)                    ,South Run RECenter                      ,3pm Sat                                                                                              ,7/7/2018
Tai Chi I (13-Adult)                    ,Spring Hill RECenter                    ,9am Sat                                                                                              ,7/7/2018
Pilates Allegro Reformer Lessons II 13+ ,Spring Hill RECenter                    ,10am Sat                                                                                             ,7/7/2018
Pilates (13-Adult)                      ,Oak Marr RECenter                       ,9am Sat                                                                                              ,7/7/2018
Pilates (13-Adult)                      ,South Run RECenter                      ,10am Sat                                                                                             ,7/7/2018
Tai Chi I (13-Adult)                    ,Cub Run RECenter                        ,8am Sat                                                                                              ,7/7/2018
Hatha Yoga I (13-Adult)                 ,South Run RECenter                      ,9am Sat                                                                                              ,7/7/2018
Hatha Yoga I (13-Adult)                 ,Audrey Moore RECenter                   ,7:30am Sat                                                                                           ,7/7/2018
Hatha Yoga I (13-Adult)                 ,Lee District RECenter                   ,8am Sat                                                                                              ,7/7/2018
Hatha Yoga II (13-Adult)                ,South Run RECenter                      ,8am Sat                                                                                              ,7/7/2018
Free Weight Training (16-Adult)         ,Spring Hill RECenter                    ,10am Sat                                                                                             ,7/7/2018
Family Fun & Fitness (5-Adult)          ,South Run RECenter                      ,3pm Sat                                                                                              ,7/7/2018
Gentle Pilates (13-Adult)               ,Spring Hill RECenter                    ,10am Sat                                                                                             ,7/7/2018
Hatha Yoga II (13-Adult)                ,Lee District RECenter                   ,3pm Sat                                                                                              ,7/7/2018
Family Fun & Fitness (5-Adult)          ,South Run RECenter                      ,3pm Sun                                                                                              ,7/8/2018
Hatha Yoga I (13-Adult)                 ,Lee District RECenter                   ,11am Sun                                                                                             ,7/8/2018
Hatha Yoga I (13-Adult)                 ,Oak Marr RECenter                       ,10:30am Sun                                                                                          ,7/8/2018
Tai Chi I (13-Adult)                    ,Audrey Moore RECenter                   ,10:30am Sun                                                                                          ,7/8/2018
Yoga for Stress Management (13-Adult)   ,Spring Hill RECenter                    ,6pm Sun                                                                                              ,7/8/2018
Pilates (13-Adult)                      ,Audrey Moore RECenter                   ,10am Sun                                                                                             ,7/8/2018
Meditation (13-Adult)                   ,Lee District RECenter                   ,3pm Sun                                                                                              ,7/8/2018
Barre Workout (13-Adult)                ,Lee District RECenter                   ,6:30pm Sun                                                                                           ,7/8/2018
Barre Workout (13-Adult)                ,Mount Vernon RECenter                   ,3pm Sun                                                                                              ,7/8/2018
Pilates Allegro Reformer Lessons 13+    ,Lee District RECenter                   ,5:30pm Sun                                                                                           ,7/8/2018
Pilates Allegro Reformer Lessons 13+    ,Mount Vernon RECenter                   ,4pm Sun                                                                                              ,7/8/2018
Teen Fit Zone (10-18 yrs)               ,South Run RECenter                      ,4pm Sun                                                                                              ,7/8/2018
BODYPUMP (13-Adult)                     ,Lee District RECenter                   ,8:05am Sun                                                                                           ,7/8/2018
Weight Training for Women I (16-Adult)  ,Oak Marr RECenter                       ,1:30pm Sun                                                                                           ,7/8/2018
Weight Training for Women I (16-Adult)  ,South Run RECenter                      ,7pm Sun                                                                                              ,7/8/2018
Fitness for Women (16-Adult)            ,Spring Hill RECenter                    ,5pm Sun                                                                                              ,7/8/2018
Zumba (13-Adult)                        ,Lee District RECenter                   ,9am Sun                                                                                              ,7/8/2018
Weight Training (16-Adult)              ,South Run RECenter                      ,7pm Sun                                                                                              ,7/8/2018
Weight Training for Teens (12-15 yrs)   ,Spring Hill RECenter                    ,5pm Sun                                                                                              ,7/8/2018
Weight Training for Teens (12-15 yrs)   ,South Run RECenter                      ,5pm Sun                                                                                              ,7/8/2018
Weight Training for Teens (12-15 yrs)   ,South Run RECenter                      ,6pm Sun                                                                                              ,7/8/2018
Boot Camp for Kids (6-12 yrs)           ,South Run RECenter                      ,3pm Sun                                                                                              ,7/8/2018
All-Star Improv Party (7-14 yrs)        ,Navy Elementary School                  ,9:30am Sun                                                                                           ,7/8/2018
Kayak Tour-Seneca to Riverbend (14-Adult,Riverbend Park                          ,7:30am Sun                                                                                           ,7/8/2018
Geology Merit Badge                     ,Ellanor C. Lawrence Park                ,1pm Sun                                                                                              ,7/8/2018
Run of the Mill                         ,Colvin Run Mill                         ,1pm Sun                                                                                              ,7/8/2018
Ice Cream at Historic Huntley           ,Historic Huntley                        ,2:30pm Sun                                                                                           ,7/8/2018
Dairy Days - Ice Cream Making and Butter,Sully                                   ,1pm Sun                                                                                              ,7/8/2018
Dairy Days - Ice Cream Making and Butter,Sully                                   ,2pm Sun                                                                                              ,7/8/2018
Dairy Days - Ice Cream Making and Butter,Sully                                   ,3pm Sun                                                                                              ,7/8/2018
Outdoor Kids (4-6 yrs)                  ,Ellanor C. Lawrence Park                ,2pm Sun                                                                                              ,7/8/2018
Turtle Survey                           ,Ellanor C. Lawrence Park                ,6pm Sun                                                                                              ,7/8/2018
Reptile Survey                          ,Lake Accotink Park                      ,8am Sun                                                                                              ,7/8/2018
Mining in Society Merit Badge           ,Hidden Oaks Nature Center               ,1:30pm Sun                                                                                           ,7/8/2018
Camp Extended Care (5-15 yrs)           ,Burke Lake Park                         ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Gymnastics & Dance Camp (6-14yrs)       ,Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Riverbend Park                          ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Riverbend Park                          ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Frying Pan Park                         ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Frying Pan Park                         ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Frying Pan Park                         ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Ellanor C. Lawrence Park                ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Ellanor C. Lawrence Park                ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Ellanor C. Lawrence Park                ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Mount Vernon RECenter                   ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Mount Vernon RECenter                   ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Mount Vernon RECenter                   ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Spring Hill RECenter                    ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Spring Hill RECenter                    ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Spring Hill RECenter                    ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,South Run RECenter                      ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,South Run RECenter                      ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,South Run RECenter                      ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Providence RECenter                     ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Providence RECenter                     ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Providence RECenter                     ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Oak Marr RECenter                       ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Oak Marr RECenter                       ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Oak Marr RECenter                       ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Cub Run RECenter                        ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Cub Run RECenter                        ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Cub Run RECenter                        ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Audrey Moore RECenter                   ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Audrey Moore RECenter                   ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Audrey Moore RECenter                   ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Lee District RECenter                   ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Lee District RECenter                   ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Lee District RECenter                   ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
"Afternoon Fun Camp (5yrs,3mos-12 yrs)   ",Mount Vernon RECenter                   ,12:15pm Mon/Tue/Wed/Thu/Fri                                                                          ,7/9/2018
"Afternoon Fun Camp (5yrs,3mos-12 yrs)   ",South Run RECenter                      ,12:15pm Mon/Tue/Wed/Thu/Fri                                                                          ,7/9/2018
"Afternoon Fun Camp (5yrs,3mos-12 yrs)   ",Lee District RECenter                   ,12:15pm Mon/Tue/Wed/Thu/Fri                                                                          ,7/9/2018
"Afternoon Fun Camp (5yrs,3mos-12 yrs)   ",Audrey Moore RECenter                   ,12:15pm Mon/Tue/Wed/Thu/Fri                                                                          ,7/9/2018
"Afternoon Fun Camp (5yrs,3mos-12 yrs)   ",Providence RECenter                     ,12:15pm Mon/Tue/Wed/Thu/Fri                                                                          ,7/9/2018
Learn to Ride a Bike Camp (5-8yrs)      ,Spring Hill RECenter                    ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
LaxStar Girls' Lacrosse Camp (7-12 yrs) ,Spring Hill RECenter                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Learn to Ride a Bike Camp (5-8yrs)      ,Audrey Moore RECenter                   ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
"Wings, Wheels & Sails (5-7 yrs.)        ",Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Science Mysteries (6-11 yrs.)           ,Audrey Moore RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Lake Accotink Park                      ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Lake Accotink Park                      ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Learn to Ride a Bike Camp (5-8yrs)      ,Mount Vernon RECenter                   ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
MetroBound-Adapted Leisure Camp(13-22yr),Stenwood Elementary School              ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
LegoTopia! (6-12 yrs.)                  ,Providence RECenter                     ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Baseball Beginners Camp(5-6 yrs)        ,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Arts Extravaganza! (6-12 yrs.)          ,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Fairy Princess Ballet Camp (3-7 yrs.)   ,Reston Conservatory                     ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Morning Fun Camp (5yr3mos-12yrs.)       ,Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Tennis Camp (6-13 yrs)                  ,Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Garden Sprouts: Nature Playgroup Summer ,Green Spring Gardens Park               ,10am Mon                                                                                             ,7/9/2018
Tennis & Sports Camp (6-13 yrs)         ,Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Wheel Action:Skateboard & Biking(8-12yr),Mount Vernon RECenter                   ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
Sewing Camp I & II (8-12 yrs)           ,Audrey Moore RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Wheel Action:Skateboard & Biking(8-12yr),Audrey Moore RECenter                   ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
Kiddie Sports Camp (3-5 yrs)            ,Audrey Moore RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Wheel Action:Skateboard & Biking(8-12yr),Spring Hill RECenter                    ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
Fencing Camp (8yrs+)                    ,Fairfax Fencers                         ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
Fencing Camp (8yrs+)                    ,Fairfax Fencers                         ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
Baseball Camp (7-12 yrs)                ,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Baseball Camp (7-12 yrs)                ,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Silver Knights Coding Camp (7-12yrs.)   ,Lake Ann Elementary School              ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Gymnastics Camp (5yrs6mos-12yrs)        ,Audrey Moore RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Baseball Camp (7-12 yrs)                ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Swimming Merit Badge                    ,Oak Marr RECenter                       ,6pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Citizenship in the Community Merit Badge,Sully                                   ,10am Mon                                                                                             ,7/9/2018
Super! Heroes Camp (5-9 yrs.)           ,Sully                                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
River Explorers (9-12 yrs.)             ,Riverbend Park                          ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Animals: Zoology Fun for Kids (4-6 yrs) ,Huntley Meadows Park                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Red Hot Robots (6-11 yrs.)              ,Spring Hill RECenter                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Fashion Illustration Camp (6-12 yrs.)   ,Cub Run RECenter                        ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
TenniStar Camp (6-13 yrs)               ,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
TenniStar Camp (6-13 yrs)               ,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Act it Out! Camp  (3-6 yrs)             ,Armstrong Elementary School             ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Act it Out! Camp  (3-6 yrs)             ,Fort Hunt Elementary School             ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Sculptacular Art Camp (6-12 yrs.)       ,Audrey Moore RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Dramatic Kids! Camp (7-10 yrs)          ,Armstrong Elementary School             ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Young Anglers Camp (7-10 yrs)           ,Audrey Moore RECenter                   ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
Young Anglers Camp (7-10 yrs)           ,Lee District RECenter                   ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
Big Fish Camp (10-16 yrs)               ,Lake Fairfax Park                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
Ninja Obstacles & Tumbling Camp         ,Mount Vernon RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Native Animal Explorers (7-11 yrs)      ,Spring Hill RECenter                    ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
Camp Summer Stomp (6-13 yrs)            ,Cub Run RECenter                        ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Native Animal Explorers (7-11 yrs)      ,Oak Marr RECenter                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
RecPAC Week 2 Camp                      ,Bren Mar Park Elementary School         ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
RecPAC Week 2 Camp                      ,Brookfield Elementary School            ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
RecPAC Week 2 Camp                      ,Bull Run Elementary School              ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
RecPAC Week 2 Camp                      ,Camelot Elementary School               ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
RecPAC Week 2 Camp                      ,Cardinal Forest Elementary School       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
RecPAC Week 2 Camp                      ,Centre Ridge Elementary School          ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
RecPAC Week 2 Camp                      ,Clearview Elementary School             ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
RecPAC Week 2 Camp                      ,Crestwood Elementary School             ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
RecPAC Week 2 Camp                      ,Dogwood Elementary School               ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
